"clusterid","birthorder","rural","facilitybirth","age","married","educat","wealth","pca","svyweight","latitude","longitude","xvar","yvar","surface_var"
37,7,1,0,32.416668,1,0,-10.0317,-1.4192553,433777,18.468275,-74.396654,-6470.54235832717,2052.43420454554,0.0034597254532277
37,2,1,0,24.833334,0,1,-7.7271,-0.31782654,433777,18.468275,-74.396654,-6470.54235832717,2052.43420454554,0.0034597254532277
38,2,1,1,21.083334,0,1,-6.7239,-0.23895003,591622,18.296927,-72.460196,-6302.12169905771,2033.39179283787,6.1293487812504e-15
38,6,1,0,24.333334,1,1,-7.6234,-0.30967316,591622,18.296927,-72.460196,-6302.12169905771,2033.39179283787,6.1293487812504e-15
38,3,1,0,38.25,1,0,-9.1021,-1.3461655,591622,18.296927,-72.460196,-6302.12169905771,2033.39179283787,6.1293487812504e-15
39,4,1,0,33,1,0,-8.2417,-1.2785167,541466,18.484158,-74.152102,-6449.27279861264,2054.19932946765,2.85854739877992e-16
39,1,1,0,18,0,2,-5.4984,0.77763456,541466,18.484158,-74.152102,-6449.27279861264,2054.19932946765,2.85854739877992e-16
39,7,1,0,33.25,1,0,-8.8556,-1.3267845,541466,18.484158,-74.152102,-6449.27279861264,2054.19932946765,2.85854739877992e-16
40,1,1,0,22.916666,0,2,-7.3888,0.62900203,1754205,19.344605,-72.454252,-6301.6047281765,2149.82335791636,1.25308256465586e-10
40,1,1,0,17.916666,0,1,-7.4607,-0.29688087,1754205,19.344605,-72.454252,-6301.6047281765,2149.82335791636,1.25308256465586e-10
40,4,1,0,25.833334,1,1,-7.3298,-0.28658888,1754205,19.344605,-72.454252,-6301.6047281765,2149.82335791636,1.25308256465586e-10
41,1,1,1,22,0,2,-8.1422,0.56976604,502253,18.396642,-73.276401,-6373.10995916923,2044.47341668776,8.87943916921467e-16
41,4,1,0,26.916666,1,0,-8.3818,-1.2895321,502253,18.396642,-73.276401,-6373.10995916923,2044.47341668776,8.87943916921467e-16
41,1,1,1,19.416666,0,2,-8.1898,0.56602347,502253,18.396642,-73.276401,-6373.10995916923,2044.47341668776,8.87943916921467e-16
41,3,1,0,33.416668,1,1,-4.438,-0.059221335,502253,18.396642,-73.276401,-6373.10995916923,2044.47341668776,8.87943916921467e-16
41,3,1,0,27.083334,1,1,-9.4157,-0.45059258,502253,18.396642,-73.276401,-6373.10995916923,2044.47341668776,8.87943916921467e-16
42,3,1,0,22.916666,0,1,-7.8146,-0.32470623,805947,18.274412,-73.49042,-6391.72395496784,2030.8896340756,8.28956889595797e-11
42,1,1,1,19.583334,1,1,-13.6844,-0.78621876,805947,18.274412,-73.49042,-6391.72395496784,2030.8896340756,8.28956889595797e-11
42,8,1,0,39.25,1,1,-6.6025,-0.22940497,805947,18.274412,-73.49042,-6391.72395496784,2030.8896340756,8.28956889595797e-11
42,1,1,1,24.25,0,2,-8.0267,0.57884717,805947,18.274412,-73.49042,-6391.72395496784,2030.8896340756,8.28956889595797e-11
42,10,1,0,45,1,0,-1.9356,-0.78270012,805947,18.274412,-73.49042,-6391.72395496784,2030.8896340756,8.28956889595797e-11
42,3,1,0,23.083334,1,1,-7.8489,-0.32740307,805947,18.274412,-73.49042,-6391.72395496784,2030.8896340756,8.28956889595797e-11
43,1,1,0,22.25,0,1,-12.7032,-0.70907199,540547,18.764672,-72.072072,-6268.3651704068,2085.37368270063,1.98091952614446e-11
43,5,1,0,41,1,1,-9.5489,-0.46106544,540547,18.764672,-72.072072,-6268.3651704068,2085.37368270063,1.98091952614446e-11
43,2,1,0,25.5,1,1,-12.8448,-0.72020531,540547,18.764672,-72.072072,-6268.3651704068,2085.37368270063,1.98091952614446e-11
43,2,1,0,22.25,1,0,-10.6657,-1.4691035,540547,18.764672,-72.072072,-6268.3651704068,2085.37368270063,1.98091952614446e-11
43,1,1,1,19.416666,0,1,-10.6657,-0.54887372,540547,18.764672,-72.072072,-6268.3651704068,2085.37368270063,1.98091952614446e-11
44,1,0,1,18.75,0,2,12.3442,2.1805074,709861,18.511073,-72.64152,-6317.89209408894,2057.19047328673,1.8136125121784
44,3,0,1,26.5,1,2,3.6105,1.4938211,709861,18.511073,-72.64152,-6317.89209408894,2057.19047328673,1.8136125121784
44,1,0,1,40.333332,1,2,14.2342,2.3291087,709861,18.511073,-72.64152,-6317.89209408894,2057.19047328673,1.8136125121784
44,2,0,1,24.833334,1,2,4.9417,1.5984865,709861,18.511073,-72.64152,-6317.89209408894,2057.19047328673,1.8136125121784
45,2,1,0,24.916666,0,2,-12.3567,0.23840129,368068,18.503296,-73.563538,-6398.08328822705,2056.32619219882,1.31491853481726e-16
45,8,1,0,40.5,1,0,-9.7966,-1.4007705,368068,18.503296,-73.563538,-6398.08328822705,2056.32619219882,1.31491853481726e-16
45,2,1,0,20.5,1,0,-8.4601,-1.2956884,368068,18.503296,-73.563538,-6398.08328822705,2056.32619219882,1.31491853481726e-16
46,3,1,0,22.166666,1,0,-8.8569,-1.3268868,718155,18.426761,-73.893287,-6426.76273491448,2047.82063053457,6.71289645240093e-11
47,3,1,0,33,1,0,-1.8965,-0.77962589,788858,19.537811,-71.72758,-6238.40347242365,2171.29491402669,0.000309362976489507
47,2,1,1,25.25,1,1,4.8059,0.66757953,788858,19.537811,-71.72758,-6238.40347242365,2171.29491402669,0.000309362976489507
47,1,1,1,25.25,1,1,4.8059,0.66757953,788858,19.537811,-71.72758,-6238.40347242365,2171.29491402669,0.000309362976489507
